,0
0,2138.1219022991213
1,3106.228763447602
2,9381.842709066334
3,6023.486402112778
4,5716.059177636059
5,7092.587620200173
6,10735.468506074601
7,2628.050353510068
8,5139.799704154041
9,3797.3955288979623
10,10216.611043421446
11,4136.668795177224
12,2327.965381524992
13,8804.114635634647
14,3591.2063130091947
15,3511.857108805281
16,6537.7146715178515
17,10313.008866534314
18,7529.596614913522
19,15907.596364711435
20,3959.6794368356186
21,6912.097196447464
22,7213.098374672486
23,3074.8966848217437
24,10465.02377361036
25,2103.150654120421
26,3960.19560909
27,4692.363056897581
28,20849.245174136224
29,9396.069847320223
30,5473.662460291646
31,4938.768387365166
32,5456.716217014882
33,4452.747949169279
34,13704.978026663925
35,5968.4236834559015
36,4801.408366980047
37,3995.3426056905405
38,5740.944698117166
39,10860.41788294023
40,3261.004311839385
41,2344.386362670989
42,5696.676207527088
43,10393.614102108404
44,2191.080563833197
45,5675.350111022098
46,4391.0947184974075
47,14538.00783586089
48,8300.024349423005
49,6063.911372829359
50,14459.528120511259
51,5688.969486934021
52,6431.379421575946
53,5100.772474080231
54,6657.964734571432
55,4898.779411403325
56,14365.902202958941
57,19524.067713748205
58,13867.61208022715
59,11857.898908025154
60,8336.594916822372
61,3801.1794078627163
62,2945.127458559652
63,5247.317450995867
64,4870.776770288787
65,1990.1924049414808
66,4199.248123132311
67,4240.66117192751
68,14986.519385838918
69,3742.1083132837293
70,7485.558129678414
71,5507.3855361892
72,8899.31499799081
73,19701.760862529907
74,13729.765192405235
75,1995.668673208054
76,5263.566825682367
77,11225.860980152373
78,6491.882878366662
79,6892.608759502687
80,6632.81292071186
81,4026.1811413407477
82,5316.152981965035
83,5681.749600032498
84,7160.935964970439
85,2422.567040141541
86,9227.245171362445
87,4580.037602524778
88,6110.5354304977245
89,4004.120845586379
90,14110.709741976549
91,3792.280855816625
92,6827.050470078538
93,2739.3012399017257
94,2524.776152677621
95,7415.375532027878
96,9350.402196111843
97,2431.670537662414
98,3348.262339040913
99,4244.784947219297
100,5047.88515520584
101,4581.231366562345
102,26660.082858945116
103,2321.665309300973
104,2192.500758338178
105,7097.857182216533
106,6429.115057906889
107,3816.1341327369787
108,9515.340830566265
109,5057.711449756032
110,11070.663243782485
111,9266.050614240197
112,10804.531957503383
113,14768.766708654746
114,2964.2578860513804
115,5411.96891516398
116,5012.1291567524795
117,11988.138550629741
118,5425.479013052119
119,10748.945303348157
120,9715.89386629298
121,9472.477696080014
122,2394.0355462942744
123,5156.159315278822
124,6569.260004811192
125,8287.728544571375
126,16801.389580794723
127,4760.687794008518
128,2342.066478799166
129,3544.3664329236053
130,7521.990513953485
131,14033.873631349928
132,5382.498672527797
133,4607.551580802754
134,7431.6234955419295
135,10578.558120826194
136,3910.056925847079
137,4523.123687526606
138,4570.418828035108
139,2032.6814556610307
140,8073.285123494031
141,3012.5659690992297
142,5362.33795764169
143,2256.0915674269227
144,5196.770758325275
145,5572.816588238741
146,5444.581451156738
147,7900.4434614496495
148,7322.439198760907
149,10036.891021121848
150,2533.18105921345
151,11010.572929119824
152,3125.821053179246
153,3257.860951004681
154,1952.2541302148204
155,10509.827907859195
156,19010.90342151785
157,5956.561634715449
158,3734.5970769742385
159,7640.528212660897
160,2780.302296271733
161,9990.95745750675
162,5232.357149917928
163,7100.240148412262
164,8608.07188395906
165,2544.8269615265
166,15576.233932766494
167,4923.927640749116
168,21978.986133307124
169,5790.1276314970855
170,7767.347305944667
171,5334.700604101519
172,2796.5163378230686
173,8364.49646356606
174,5993.597028961004
175,4930.694174337335
176,6054.222707387011
177,5406.978782560153
178,7809.933988883142
179,17691.89163920644
180,3289.411255369828
181,12464.829205179483
182,5190.810639940238
183,4900.536848572597
184,7105.50803667626
185,7281.457298755567
186,8202.7851590629
187,3468.024634981923
188,4523.812088437996
189,10926.385034279496
190,3170.7274431069814
191,5711.720471818306
192,9352.463843443798
193,39792.40998435156
194,5484.932943577154
195,6682.250592488393
196,6286.077259581782
197,4002.649149917241
198,5461.801394311395
199,31834.608814370247
200,14230.915187463346
201,10932.445475115956
202,8055.7760775172455
203,3981.7059110184346
204,8150.974768529335
205,2368.515272985291
206,3668.318831151609
207,13401.859859862348
208,4898.726442770713
209,14706.454060293474
210,7864.945589169035
211,1679.7900843603109
212,5604.133236591197
213,10419.658155081494
214,11189.62897555013
215,3751.7588049062147
216,5246.350673258786
217,2037.7860624608059
218,23252.255919413426
219,16405.041496841226
220,3368.6849758393064
221,3187.949914049065
222,12925.993985886516
223,4300.343493592954
224,20766.340455474958
225,14551.418634725293
226,6307.812838157117
227,4918.874954571549
228,14897.383402529364
229,13966.654667408171
230,30115.812409733033
231,5684.4657716854945
232,2145.4939337564724
233,4301.601228019551
234,6198.218348434465
235,2222.5384873148405
236,11148.838787895615
237,3298.118781775119
238,2693.9561391781
239,2586.219638226578
240,6680.592618158104
241,5285.168592446107
242,13568.002249498846
243,3479.3313784340216
244,3669.2618108482625
245,4683.326119288023
246,5245.367832376045
247,9896.318785957828
248,3307.8187901103292
249,3590.4218200962628
250,8323.030282205316
251,11172.009802763081
252,3144.8726251295675
253,6142.279903987632
254,10537.719039116646
255,5582.680348782666
256,7321.259491547939
257,16271.033583182356
258,2546.9784700187315
259,6169.563963412208
260,8033.079412513396
261,6106.59998586444
262,18465.165622249184
263,23423.686458644126
264,3658.0233337435693
265,6678.557605712557
266,3891.9525069812903
267,9704.573989554134
268,10551.375747232338
269,3888.885616642824
270,5360.209658965653
271,5710.09750414705
272,10838.70339370827
